"codigo","nombre","population","total_functional_2015","per_person","cut"
26081,"Jalón de Cameros",18,437200,24288.8888888889,"Menos de 1.000"
47033,"Canalejas de Peñafiel",298,216000,724.832214765101,"Menos de 1.000"
23026,"Castillo de Locubín",4381,3328732.39,759.811091075097,"de 1.000 a 5.000"
22089,"Castillonroy",336,433937.97,1291.48205357143,"Menos de 1.000"
42057,"Castilruiz",201,254200,1264.67661691542,"Menos de 1.000"
37097,"Castraz",40,34315,857.875,"Menos de 1.000"
47037,"Castrejón de Trabancos",194,245300,1264.43298969072,"Menos de 1.000"
32022,"Castrelo de Miño",1620,1712221,1056.92654320988,"de 1.000 a 5.000"
32021,"Castrelo do Val",1109,804336.93,725.28127141569,"de 1.000 a 5.000"
18046,"Castril",2290,2402235.78,1049.01125764192,"de 1.000 a 5.000"
24043,"Castrillo de Cabrera",133,80100,602.255639097744,"Menos de 1.000"
21011,"Beas",4190,3044963,726.721479713604,"de 1.000 a 5.000"
47038,"Castrillo de Duero",129,163500,1267.44186046512,"Menos de 1.000"
6037,"Codosera, La",2221,1700000,765.420981539847,"de 1.000 a 5.000"
40902,"Cozuelos de Fuentidueña",136,210300,1546.32352941176,"Menos de 1.000"
18066,"Deifontes",2574,1454800.31,565.190485625486,"de 1.000 a 5.000"
8079,"Estany, L'",407,532656.4,1308.73808353808,"Menos de 1.000"
17068,"Foixà",320,524152.96,1637.978,"Menos de 1.000"
6079,"Manchita",761,510380,670.670170827858,"Menos de 1.000"
16072,"Castillo de Garcimuñoz",163,517761.25,3176.44938650307,"Menos de 1.000"
50161,"Manchones",116,184769.03,1592.83646551724,"Menos de 1.000"
2062,"Povedilla",484,349594.56,722.302809917355,"Menos de 1.000"
44191,"Puebla de Híjar, La",965,803362,832.499481865285,"Menos de 1.000"
17043,"Queralbs",182,544684.21,2992.77038461538,"Menos de 1.000"
9373,"Sotresgudo",500,355040,710.08,"Menos de 1.000"
40229,"Villaverde de Montejo",39,104860,2688.71794871795,"Menos de 1.000"
25077,"Coll de Nargó",587,549344,935.850085178876,"Menos de 1.000"
49172,"Rabanales",610,344010.17,563.951098360656,"Menos de 1.000"
26176,"Villaverde de Rioja",68,382089,5618.95588235294,"Menos de 1.000"
41059,"Mairena del Aljarafe",43723,36376205.14,831.96956155799,"de 10.000 a 50.000"
49108,"Manganeses de la Lampreana",485,352853.36,727.532701030928,"Menos de 1.000"
49131,"Moralina",320,101100,315.9375,"Menos de 1.000"
9253,"Pardilla",134,126300,942.537313432836,"Menos de 1.000"
13077,"Santa Cruz de Mudela",4455,2763390.62,620.289701459035,"de 1.000 a 5.000"
30901,"Santomera",15860,10464849.08,659.826549810845,"de 10.000 a 50.000"
23082,"Siles",2362,1908647.18,808.06400508044,"de 1.000 a 5.000"
49109,"Manganeses de la Polvorosa",732,320000,437.158469945355,"Menos de 1.000"
5119,"Manjabálago y Ortigosa de Rioalmar",36,24736,687.111111111111,"Menos de 1.000"
26092,"Manjarrés",115,628000,5460.86956521739,"Menos de 1.000"
8112,"Manlleu",20279,16383679.6,807.913585482519,"de 10.000 a 50.000"
15044,"Mañón",1455,1275000,876.288659793814,"de 1.000 a 5.000"
8113,"Manresa",75297,73954770,982.174190206781,"de 50.000 a 100.000"
8119,"Masquefa",8406,12843113.44,1527.85075422317,"de 5.000 a 10.000"
50903,"Villamayor de Gállego",2820,2799009.43,992.556535460993,"de 1.000 a 5.000"
16902,"Valdetórtola",153,136732.65,893.677450980392,"Menos de 1.000"
2084,"Villaverde de Guadalimar",381,252550,662.860892388451,"Menos de 1.000"
27021,"Xermade",2036,1633807.65,802.459553045187,"de 1.000 a 5.000"
8292,"Vallbona d'Anoia",1424,1059123,743.766151685393,"de 1.000 a 5.000"
23014,"Begíjar",3133,2665375.07,850.74212256623,"de 1.000 a 5.000"
8020,"Begues",6620,8619576.52,1302.05083383686,"de 5.000 a 10.000"
9136,"Fuentecén",239,231475.96,968.518661087866,"Menos de 1.000"
49230,"Vallesa de la Guareña",106,86600,816.981132075472,"Menos de 1.000"
16237,"Valverdejo",103,165700,1608.73786407767,"Menos de 1.000"
47218,"Villanueva de Duero",1202,1295303.31,1077.62338602329,"de 1.000 a 5.000"
